loc,node,name
,338,Somewhere in the vicinity of RSAC139 and RSAC140 on the Sacramento River
,7,San Joaquin River at Mossdale
,113,Middle River at Victoria Canal
,93,Somewhere in the vicinity of ROLD24 on Old River
1,34,San Joaquin River near Medford Island
,25,San Joaquin River at Buckley Cove
,225,Somewhere in the vicinity of node 225 (channels 277 and 278)
,232,Frank’s Tract East
2,41,San Joaquin River at Twitchell Island
4,351,Sacramento River at Rio Vista
6,461,San Joaquin River downstream of Dutch Slough
5,354,Sacramento River at Sherman Lake
3,240,Threemile Slough
